Champions
	HP
	HP+
	HP5
	HP5+
	MP
	MP+
	MP5
	MP5+
	AD
	AD+
	AS
	AS+
	AR
	AR+
	MR
	MR+
	MS
	Range
AatroxSquare.png Aatrox 	395 	+85 	5.75 	+0.5 	30 	+45 	0 	+0 	55 	+3.2 	0.651 	+3% 	18 	+3.8 	30 	+1.25 	345 	150
AhriSquare.png Ahri 	380 	+80 	5.5 	+0.6 	250 	+50 	7 	+0.6 	50 	+3 	0.668 	+2% 	15 	+3.5 	30 	+0 	330 	550
AkaliSquare.png Akali 	445 	+85 	7.25 	+0.65 	200 	+0 	50 	+0 	53 	+3.2 	0.694 	+3.1% 	20.5 	+3.5 	30 	+1.25 	350 	125
AlistarSquare.png Alistar 	442 	+102 	7.25 	+0.85 	215 	+38 	6.45 	+0.45 	55.03 	+3.62 	0.625 	+2.125% 	18.5 	+3.5 	30 	+1.25 	330 	125
AmumuSquare.png Amumu 	472 	+84 	7.45 	+0.85 	220 	+40 	6.5 	+0.525 	47 	+3.8 	0.638 	+2.18% 	22 	+3.3 	30 	+1.25 	335 	125
AniviaSquare.png Anivia 	350 	+70 	4.65 	+0.55 	257 	+53 	7.0 	+0.6 	48 	+3.2 	0.625 	+1.68% 	14.5 	+4 	30 	+0 	325 	600
AnnieSquare.png Annie 	384 	+76 	4.5 	+0.55 	250 	+50 	6.9 	+0.6 	48 	+2.625 	0.579 	+1.36% 	12.5 	+4 	30 	+0 	335 	625
AsheSquare.png Ashe 	395 	+79 	4.5 	+0.55 	173 	+35 	6.3 	+0.4 	46.3 	+2.85 	0.658 	+4% 	15.5 	+3.4 	30 	+0 	325 	600
AzirSquare.png Azir 	390 	+80 	6 	+0.55 	280 	+42 	6.5 	+0.65 	43 	+2.8 	0.556 	+1.5% 	14 	+3 	30 	+0 	335 	525
BlitzcrankSquare.png Blitzcrank 	423 	+95 	7.25 	+0.75 	200 	+40 	6.6 	+0.5 	55.66 	+3.5 	0.625 	+1.13% 	18.5 	+3.5 	30 	+1.25 	325 	125
BrandSquare.png Brand 	380 	+76 	4.5 	+0.55 	250 	+45 	7.0 	+0.6 	52 	+3 	0.625 	+1.36% 	16 	+3.5 	30 	+0 	340 	550
BraumSquare.png Braum 	430 	+87 	6.5 	+1 	235 	+45 	5.5 	+0.8 	50 	+3.2 	0.644 	+3.5% 	20 	+4 	30 	+1.25 	335 	125
CaitlynSquare.png Caitlyn 	390 	+80 	4.75 	+0.55 	255 	+35 	6.5 	+0.55 	47 	+3 	0.625 	+4% 	17 	+3.5 	30 	+0 	325 	650
CassiopeiaSquare.png Cassiopeia 	380 	+75 	4.85 	+0.5 	250 	+50 	7.1 	+0.75 	47 	+3.2 	0.647 	+1.68% 	15.5 	+4 	30 	+0 	335 	550
ChoGathSquare.png Cho'Gath 	440 	+80 	7.5 	+0.85 	205 	+40 	6.45 	+0.45 	54.1 	+4.2 	0.625 	+1.44% 	23 	+3.5 	30 	+1.25 	345 	125
CorkiSquare.png Corki 	375 	+82 	4.5 	+0.55 	243 	+37 	6.5 	+0.55 	48.2 	+3 	0.625 	+2.3% 	17.5 	+3.5 	30 	+0 	325 	550
DariusSquare.png Darius 	426 	+93 	8.25 	+0.95 	200 	+37.5 	6 	+0.35 	50 	+3.5 	0.679 	+2.65% 	24 	+3.5 	30 	+1.25 	340 	125
DianaSquare.png Diana 	438 	+90 	6 	+0.85 	230 	+40 	7 	+0.6 	48 	+3 	0.625 	+2.25% 	20 	+3.6 	30 	+1.25 	345 	150
DrMundoSquare.png Dr. Mundo 	433 	+89 	6.5 	+0.75 	0 	+0 	0 	+0 	56.23 	+3 	0.625 	+2.8% 	21 	+3.5 	30 	+1.25 	345 	125
DravenSquare.png Draven 	420 	+82 	5 	+0.7 	240 	+42 	6.95 	+0.65 	46.5 	+3.5 	0.679 	+2.7% 	20 	+3.3 	30 	+0 	330 	550
EliseSquare.png Elise 	395 	+80 	4.7 	+0.6 	240 	+50 	6.8 	+0.65 	47.5 	+3 	0.625 	+1.75% 	16.5 	+3.35 	30 	+0 	335 	550
EvelynnSquare.png Evelynn 	380 	+90 	8.9 	+0.55 	190 	+45 	7.1 	+0.6 	48 	+3.5 	0.625 	+3.6% 	16 	+4 	30 	+1.25 	340 	125
EzrealSquare.png Ezreal 	350 	+80 	5.5 	+0.55 	235 	+45 	7.0 	+0.65 	47.2 	+3 	0.625 	+2.8% 	16 	+3.5 	30 	+0 	325 	550
FiddlesticksSquare.png Fiddlesticks 	390 	+80 	4.6 	+0.6 	251 	+59 	6.9 	+0.65 	45.95 	+2.625 	0.625 	+2.11% 	15 	+3.5 	30 	+0 	335 	480
FioraSquare.png Fiora 	450 	+85 	5.5 	+0.8 	220 	+40 	6.75 	+0.5 	54.5 	+3.2 	0.672 	+3% 	19 	+3.5 	30 	+1.25 	350 	125
FizzSquare.png Fizz 	414 	+86 	7.0 	+0.7 	200 	+40 	6.1 	+0.45 	53 	+3 	0.658 	+3.1% 	16.7 	+3.4 	30 	+1.25 	335 	175
GalioSquare.png Galio 	435 	+85 	7.45 	+0.75 	235 	+50 	7 	+0.7 	56.3 	+3.375 	0.638 	+1.2% 	21 	+3.5 	30 	+1.25 	335 	125
GangplankSquare.png Gangplank 	495 	+81 	4.25 	+0.75 	215 	+40 	6.5 	+0.7 	54 	+3 	0.651 	+2.75% 	20.5 	+3.3 	30 	+1.25 	345 	125
GarenSquare.png Garen 	455 	+96 	7 	+0.5 	0 	+0 	0 	+0 	52 	+3.5 	0.625 	+2.9% 	23 	+2.7 	30 	+1.25 	345 	125
GnarSquare.png Gnar 	430 	+65 	4.5 	+0.5 	100 	+0 	0 	+0 	45 	+3 	0.625 	+0.5% 	19 	+2.5 	30 	+0 	325 	150
GragasSquare.png Gragas 	434 	+89 	7.25 	+0.85 	221 	+47 	6.45 	+0.45 	55.5 	+3.5 	0.651 	+2.05% 	20 	+3.6 	30 	+1.25 	330 	125
GravesSquare.png Graves 	410 	+84 	5.5 	+0.7 	255 	+40 	6.75 	+0.7 	51 	+3.1 	0.625 	+2.9% 	19 	+3.2 	30 	+0 	330 	525
HecarimSquare.png Hecarim 	440 	+95 	8 	+0.75 	210 	+40 	6.5 	+0.6 	56 	+3.2 	0.670 	+2.5% 	20 	+4 	30 	+1.25 	345 	175
HeimerdingerSquare.png Heimerdinger 	350 	+75 	0 	+0.6 	240 	+40 	6 	+0.6 	53 	+2.7 	0.625 	+1.36% 	14 	+3 	30 	+0 	340 	550
IreliaSquare.png Irelia 	456 	+90 	7.5 	+0.65 	230 	+35 	7.0 	+0.65 	56 	+3.3 	0.665 	+3.2% 	19 	+3.75 	30 	+1.25 	345 	125
JannaSquare.png Janna 	356 	+78 	4.5 	+0.55 	302 	+64 	6.9 	+0.6 	49 	+2.95 	0.625 	+2.61% 	13 	+3.8 	30 	+0 	335 	475
JarvanIVSquare.png Jarvan IV 	420 	+90 	7.0 	+0.7 	235 	+40 	6.0 	+0.45 	50 	+3.4 	0.658 	+2.5% 	18 	+3.6 	30 	+1.25 	340 	175
