23,154.25
22,173.25
22,154.00
26,184.75
24,	184.25
24,	210.25
26,	181.00
25,	176.00
25,	191.00
23,	198.25
26,	186.25
27,	216.00
32,	180.50
30,	205.25
35,	187.75
35,	162.75
34,	195.75
32,	209.25
28,	183.75
33,	211.75
28,	179.00
28,	200.50
31,	140.25
32,	148.75
28,	151.25
27,	159.25
34,	131.50
31,	148.00
27,	133.25
29,	160.75
32,	182.00
29,	160.25
27,	168.00
41,	218.50
41,	247.25
49,	191.75
40,	202.25
50,	196.75
46,	363.15
50,	203.00
45,	262.75
44,	205.00
48,	217.00
41,	212.00
39,	125.25
43,	164.25
40,	133.50
39,	148.50
45,	135.75
47,	127.50
47,	158.25
40,	139.25
51,	137.25
49,	152.75
42,	136.25
54,	198.00
58,	181.50
62,	201.25
54,	202.50
61,	179.75
62,	216.00
56,	178.75
54,	193.25
61,	178.00
57,	205.50
55,	183.50
54,	151.50
55,	154.75
54,	155.25
55,	156.75
62,	167.50
55,	146.75
56,	160.75
55,	125.00
61,	143.00
61,	148.25
57,	162.50
69,	177.75
81,	161.25
66,	171.25
67,	163.75
64,	150.25
64,	190.25
70,	170.75
72,	168.00
67,	167.00
72,	157.75
64,	160.00
46,	176.75
48,	176.00
46,	177.00
44,	179.75
47,	165.25
46,	192.50
47,	184.25
53,	224.50
38,	188.75
50,	162.50
46,	156.50
47,	197.00
49,	198.50
48,	173.75
41,	172.75
49,	196.75
43,	177.00
43,	165.50
43,	200.25
52,	203.25
43,	194.00
40,	168.50
43,	170.75
43,	183.25
47,	178.25
42,	163.00
48,	175.25
40,	158.00
48,	177.25
51,	179.00
40,	191.00
44,	187.50
52,	206.50
44,	185.25
40,	160.25
47,	151.50
50,	161.00
46,	167.00
42,	177.50
43,	152.25
40,	192.25
42,	165.25
49,	171.75
40,	171.25
47,	197.00
50,	157.00
41,	168.25
44,	186.00
39,	166.75
43,	187.75
40,	168.25
49,	212.75
40,	176.75
40,	173.25
52,	167.00
23,	159.75
23,	188.15
24,	156.00
24,	208.50
25,	206.50
25,	143.75
26,	223.00
26,	152.25
26,	241.75
27,	146.00
27,	156.75
27,	200.25
28,	171.50
28,	205.75
28,	182.50
30,	136.50
31,	177.25
31,	151.25
33,	196.00
33,	184.25
34,	140.00
34,	218.75
35,	217.00
35,	166.25
35,	224.75
35,	228.25
35,	172.75
35,	152.25
35,	125.75
35,	177.25
36,	176.25
36,	226.75
37,	145.25
37,	151.00
37,	241.25
38,	187.25
39,	234.75
39,	219.25
40,	118.50
40,	145.75
40,	159.25
40,	170.50
40,	167.50
41,	232.75
41,	210.50
41,	202.25
41,	185.00
41,	153.00
42,	244.25
42,	193.50
42,	224.75
42,	162.75
42,	180.00
42,	156.25
42,	168.00
42,	167.25
43,	170.75
43,	178.25
43,	150.00
43,	200.50
44,	184.00
44,	223.00
44,	208.75
44,	166.00
47,	195.00
47,	160.50
47,	159.75
49,	140.50
49,	216.25
49,	168.25
50,	194.75
50,	172.75
51,	219.00
51,	149.25
51,	154.50
52,	199.25
53,	154.50
54,	153.25
54,	230.00
54,	161.75
55,	142.25
55,	179.75
55,	126.50
55,	169.50
55,	198.50
56,	174.50
56,	167.75
57,	147.75
57,	182.25
58,	175.50
58,	161.75
60,	157.75
62,	168.75
62,	191.50
63,	219.15
64,	155.25
65,	189.75
65,	127.50
65,	224.50
66,	234.25
67,	227.75
67,	199.50
68,	155.50
69,	215.50
70,	134.25
72,	201.00
72,	186.75
72,	190.75
74,	207.50
