#,Team,Player,H,W,P,School,C
1,Washington,John Wall,"6'4""",196,PG,Kentucky,Fr.
2,Philadelphia,Evan Turner,"6'7""",214,SG,Ohio State,Jr.
3,New Jersey,Derrick Favors,"6'10""",245,PF,Georgia Tech,Fr.
4,Minnesota,Wesley Johnson,"6'7""",206,SF,Syracuse,Jr.
5,Sacramento,DeMarcus Cousins,"6'11""",292,PF/C,Kentucky,Fr.
6,Golden St.,Ekpe Udoh,"6'10""",237,PF,Baylor,Jr.
7,Detroit,Greg Monroe,"6'11""",247,PF/C,Georgetown,So.
8,LA Clippers,Al-Farouq Aminu,"6'8""",216,SF,Wake Forest,So.
9,Utah,Ed Davis,"6'10""",227,PF,North Carolina,So.
10,Indiana,Luke Babbitt,"6'9""",218,SF/PF,Nevada,So.
11,New Orleans Old,Patrick Patterson,"6'9""",240,PF,Kentucky,Jr.
12,Memphis,Paul George,"6'9""",214,SF,Fresno St.,So.
13,Toronto,Cole Aldrich,"6'10""",236,C,Kansas,Jr.
14,Houston,Gordon Hayward,"6'8""",211,SF,Butler,So.
15,Milwaukee,Xavier Henry,"6'6""",210,SG,Kansas,Fr.
16,Minnesota,Larry Sanders,"6'10""",222,PF/C,VCU,Jr.
17,Washington,Damion James,"6'7""",227,SF,Texas,Sr.
18,Oklahoma City,Eric Bledsoe,"6'1""",192,PG/SG,Kentucky,Fr.
19,Boston,Avery Bradley,"6'3""",180,SG,Texas,Fr.
20,San Antonio,Elliot Williams,"6'4""",180,SG,Memphis,So.
21,Oklahoma City,Craig Brackins,"6'10""",229,PF,Iowa St.,Jr.
22,Portland,Kevin Seraphin,"6'9""",263,PF/C,France,Intl.
23,Minnesota,James Anderson,"6'9""",208,SG,Oklahoma State,Jr.
24,Atlanta,Hassan Whiteside,"7'0""",227,C,Marshall,Fr.
25,Memphis,Devin Ebanks,"6'8""",208,SF,West Virginia,So.
26,Oklahoma Cty,Tibor Pleiss,"7'1""",235,C,Germany,Intl.
27,New Jersey,Terrico White,"6'5""",203,PG/SG,Mississippi,So.
28,Memphis,Jordan Crawford,"6'4""",198,SG,Xavier,So.
29,Orlando,Dominique Jones,"6'4""",216,SG,South Florida,Jr.
30,Washington,Greivis Vasquez,"6'6""",211,PG/SG,Maryland,Sr.
