#,Team,Player,H,W,P,School,C
1,New Orleans,Anthony Davis,"6'10""",222,PF,Kentucky,Fr.
2,Charlotte,Bradley Beal,"6'4""",202,SG,Florida,Fr.
3,Washington,Michael Kidd-Gilchrist,"6'7""",233,SF,Kentucky,Fr.
4,Cleveland ,Harrison Barnes,"6'8""",228,SF,North Carolina,So.
5,Sacramento,Thomas Robinson,"6'9""",244,PF,Kansas,Jr.
6,Portland,Damian Lillard,"6'3""",189,PG,Weber St.,Jr.
7,Golden St.,Dion Waiters ,"6'4""",215,SG,Syracuse,So.
8,Toronto,Andre Drummond,"6'11""",279,PF/C,UConn,Fr.
9,Detroit,John Henson,"6'10""",216,PF,North Carolina,Jr.
10,New Orleans,Austin Rivers,"6'5""",203,SG,Duke,Fr.
11,Portland,Tyler Zeller,"7'0""",247,PF/C,North Carolina,Sr.
12,Houston,Meyers Leonard,"7'1""",250,C,Illinois,So.
13,Phoenix,Jeremy Lamb,"6'5""",179,SG,UConn,So.
14,Milwaukee,Terrence Ross,"6'7""",197,SG/SF,Washington,So.
15,Philadelphia,Andrew Nicholson,"6'10""",234,PF,St. Bonaventure,Sr.
16,Houston,Moe Harkless,"6'8""",207,SF,St. Johns,Fr.
17,Cleveland ,Arnett Moultrie,"6'11""",233,PF,Mississippi St.,Jr.
18,Houston,Marquis Teague,"6'2""",189,PG,Kentucky,Fr.
19,Orlando,Jared Sullinger,"6'9""",268,PF,Ohio State,So.
20,Denver,Kendall Marshall,"6'4""",197,PG,North Carolina,So.
21,Boston,Perry Jones,"6'11""",234,SF/PF,Baylor,So.
22,Boston,Royce White,"6'8""",261,SF,Iowa St.,So.
23,Atlanta,Terrence Jones,"6'9""",252,SF/PF,Kentucky,So.
24,Cleveland ,Draymond Green,"6'7""",236,SF/PF,Michigan St.,Sr.
25,Memphis,Fab Melo,"7'1""",255,C,Syracuse,So.
26,Indiana,Jeffery Taylor,"6'7""",213,SF,Vanderbilt,Sr.
27,Philadelphia,Evan Fournier,"6'7""",204,SG,France,Intl.
28,Oklahoma Cty,Doron Lamb,"6'4""",199,SG,Kentucky,So.
29,Chicago,Will Barton,"6'6""",174,SG/SF,Memphis,So.
30,Golden St.,Quincy Miller,"6'10""",219,SF,Baylor,Fr.
